Index,Electrolyte,Cathode,Difference in TEC,Average TEC
161,Au1Li3S2,Li1Ni1O2,0.721212044,0.928044868
162,F1Li1Ni1O4S1,Li1Ni1O2,0.033512255,0.584194974
163,As1Li3S3,Li1Ni1O2,0.366857358,0.750867525
164,Au1Li1S1,Li1Ni1O2,0.527559101,0.831218397
165,Li1Na1S1,Li1Ni1O2,0.766430428,0.95065406
166,F1Li1O4S1Zn1,Li1Ni1O2,0.093188179,0.614032936
167,H2Li2O5S1,Li1Ni1O2,0.059967973,0.597422833
168,As1Eu1Li1S3,Li1Ni1O2,0.145511787,0.64019474
169,H1Li1S1,Li1Ni1O2,0.483700933,0.809289313
170,Li1S6Ti3,Li1Ni1O2,0.075253211,0.529812241
171,Li9N1S3,Li1Ni1O2,0.548017968,0.84144783
172,K1Li1O4S1,Li1Ni1O2,0.057109491,0.595993592
173,Li1Mo1S2,Li1Ni1O2,0.13046166,0.502208016
174,F1Fe1Li1O4S1,Li1Ni1O2,0.002479787,0.56867874
175,Li7P3S11,Li1Ni1O2,0.204261078,0.669569385
176,Li1S2V1,Li1Ni1O2,0.084385367,0.525246163
177,Cs1H4Li1O5S1,Li1Ni1O2,0.271338661,0.703108177
178,Ga2Ge1Li2S6,Li1Ni1O2,0.139136814,0.637007253
179,Li1O5S2Ti2Y2,Li1Ni1O2,0.152958743,0.490959475
180,H4K1Li1N2O6S2,Li1Ni1O2,0.034819393,0.584848543
181,Cs1H4Li1N2O6S2,Li1Ni1O2,0.070079908,0.6024788
182,Li2O4S1,Li1Ni1O2,0.000256435,0.567310629
183,Li2S1,Li1Ni1O2,0.604062293,0.869469993
184,H5Li1N2O4S1,Li1Ni1O2,0.342982369,0.738930031
185,Li2O5S2Ti2Y2,Li1Ni1O2,0.139444186,0.497716753
186,C1F3Li1O3S1,Li1Ni1O2,0.018048451,0.576463072
187,Eu1Li1O8S2,Li1Ni1O2,0.08343325,0.525722221
188,Li1S1,Li1Ni1O2,1.025281651,1.080079672
189,Li1Nb1S2,Li2Mn2Ni1O6,0.106001149,0.464181589
190,Cs2Li1Nb1S4,Li2Mn2Ni1O6,0.058467608,0.546415967
191,Al1Li1S2,Li2Mn2Ni1O6,0.172148729,0.603256527
192,Li2S3Te1,Li2Mn2Ni1O6,0.335771595,0.685067961
193,F3La2Li1O8S2,Li2Mn2Ni1O6,0.070550398,0.552457362
194,B2Li2S5,Li2Mn2Ni1O6,0.007875714,0.513244306
195,Au1Li1O14S4,Li2Mn2Ni1O6,0.033172365,0.533768346
196,Cr1Li1S2,Li2Mn2Ni1O6,0.004015502,0.519189914
197,Er1Li1S2,Li2Mn2Ni1O6,0.220709134,0.62753673
198,F1Li1O3S1,Li2Mn2Ni1O6,0.145088126,0.589726226
199,Li1S2Ti1,Li2Mn2Ni1O6,0.002159017,0.516102655
